team,number,name,total_minutes,appearances
学習院大学,13,梶　圭朝,1068,12
東京経済大学,16,村松　晴登,1065,13
横浜国立大学（神奈川県）,5,大西　遼久,1063,12
桜美林大学,44,堀江　響希,1062,12
上智大学,3,松本　和輝,1062,12
玉川大学,23,國本　純成,1058,13
学習院大学,7,児島　巧海,1050,13
玉川大学,36,上野　湊,1048,13
上智大学,10,塙　　仁成,1045,12
桜美林大学,21,菊地　琉世,1033,13
桜美林大学,7,佐藤　天真,1008,13
上智大学,8,福島　広大,991,13
朝鮮大学校,1,金 柱相,990,11
日本大学文理学部,1,磯貝 仁斗,990,11
桜美林大学,22,高橋　陽翔,990,11
上智大学,97,須田　悠斗,962,12
玉川大学,14,林　雄琉,936,12
東京経済大学,17,吉儀　大,936,13
桜美林大学,25,大成　春斗,927,13
朝鮮大学校,2,沈 瑞輝,921,13
横浜国立大学（神奈川県）,26,加藤　士門,914,11
武蔵大学,22,水越　大心,897,11
神奈川工科大学（神奈川県）,4,吉田　太陽,896,10
日本大学文理学部,3,北村 翼,878,10
神奈川工科大学（神奈川県）,15,林　晃希,878,12
帝京大学,13,沢 柊斗,878,13
大東文化大学,5,池羽　　航輝,866,11
武蔵大学,47,廣井　悠真,847,12
日本大学文理学部,37,清水 佑,847,11
大東文化大学,29,佐藤　大心,838,10
玉川大学,10,内田　凜,837,10
神奈川工科大学（神奈川県）,10,小林　暢,837,10
東京経済大学,13,宮﨑　悠斗,834,10
神奈川工科大学（神奈川県）,13,齊藤　大翔,830,11
東京経済大学,6,松井　一晟,813,10
武蔵大学,31,湯浅　世琉亜,810,9
帝京大学,32,矢野　琉瑚,810,9
玉川大学,7,森岡　大地,805,9
神奈川工科大学（神奈川県）,29,常盤　啓太,803,11
朝鮮大学校,10,朴 ソラ,799,13
神奈川工科大学（神奈川県）,8,春原　	哲汰,797,13
横浜国立大学（神奈川県）,3,髙木　直,795,11
神奈川工科大学（神奈川県）,11,平田　竜誠,791,13
朝鮮大学校,14,金 世諒,776,10
帝京大学,26,桾澤 琢太,768,12
横浜国立大学（神奈川県）,33,中村　朗莞,748,10
武蔵大学,8,中里　春輝,740,10
学習院大学,16,藤井　冬威,737,9
帝京大学,8,桒原 一斗,719,13
大東文化大学,11,舘　颯之介,717,12
桜美林大学,96,木村　恵真,693,13
帝京大学,9,緒方 快青,687,13
玉川大学,26,杉山　和勢,686,11
桜美林大学,10,石澤　海陽,686,9
大東文化大学,10,安藤　　稜人,682,8
帝京大学,2,松本 大地,675,8
帝京大学,6,近江 智哉,665,13
東京経済大学,8,河西　透和,650,9
横浜国立大学（神奈川県）,28,田邉　快斗,642,9
桜美林大学,3,岩本　晴,635,8
神奈川工科大学（神奈川県）,14,杉本　侑哉,630,7
大東文化大学,1,清水　　天斗,630,7
大東文化大学,18,青　海斗,628,8
武蔵大学,28,藤田　和,624,8
帝京大学,16,池内 優介,621,13
神奈川工科大学（神奈川県）,5,橋本　晃進,619,10
学習院大学,6,神山　晃太,617,9
日本大学文理学部,9,遠田 凌,612,11
武蔵大学,45,寺田　聡,608,9
日本大学文理学部,24,川口 友作,606,9
玉川大学,11,中村　隼人,600,9
朝鮮大学校,16,高　悠邦,598,8
玉川大学,5,松井　琢磨,585,7
玉川大学,37,清水　彩生,585,7
大東文化大学,47,渡辺　浩史,584,7
大東文化大学,88,松本　浩輝,574,8
神奈川工科大学（神奈川県）,3,五十嵐　晴生,568,9
大東文化大学,96,奥田　大翔,562,11
学習院大学,28,加藤   大毅,556,7
帝京大学,40,田中　菱,553,7
玉川大学,24,前田　陽平,550,7
日本大学文理学部,65,千葉　海斗,543,8
横浜国立大学（神奈川県）,6,渡邊　元気,541,9
学習院大学,2,松本　隆宏,536,7
横浜国立大学（神奈川県）,15,櫻井　恵太,531,11
武蔵大学,14,石塚　優斗,531,7
武蔵大学,4,小野寺　拓巳,529,7
大東文化大学,27,津田　　楓真,527,7
朝鮮大学校,13,李　京樹,527,7
学習院大学,8,小川　将弥,524,8
東京経済大学,3,古澤　友麻,522,7
上智大学,81,福尾　涼太,521,9
桜美林大学,88,山本　陵聖,519,6
大東文化大学,3,雨宮　　壮汰,519,7
東京経済大学,29,駒田　晴生,501,10
大東文化大学,16,栗栖　晴己,493,9
朝鮮大学校,21,朴　創嶺,493,8
学習院大学,27,山田   惟斗,491,6
